"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"L STREET SE & 3RD STREET SE WASHINGTON, DC 20003 UNITED STATES","Match","Non_Exact","11001008903"
"1200 BLOCK OF 4TH STREET SE WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001007808"
"4600 BLOCK OF LIVINGSTON ROAD SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001007406"
"1000 BLOCK OF QUEBEC PLACE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001007808"
"4700 BLOCK OF SOUTH CAPITOL STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","24033801600"
"900 BLOCK OF VARNEY STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001008803"
"200 BLOCK OF 54TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001002801"
"1000 BLOCK OF K STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001008302"
"2100 BLOCK OF 14TH STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001002503"
"400 BLOCK OF K STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001002101"
"1100 BLOCK OF K STREET SE WASHINGTON, DC 20003 UNITED STATES","Match","Non_Exact","11001010400"
"400 BLOCK OF C STREET SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001009302"
"800 BLOCK OF 51ST STREET SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007808"
"1300 BLOCK OF IRVING STREET NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001007707"
"1200-BLK SUMNER RD DC, DC 20020 UNITED STATES","Match","Non_Exact","11001007203"
"600 BLOCK OF EMMANUEL COURT NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001003000"
"1500 BLOCK OF ALABAMA AVENUE SE WASHINGTON, DC 20032 UNITED STATES","No_Match","",NA
"1000 BLOCK OF BLADENSBURG ROAD NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007401"
